,CO_CNES,NO_FANTASIA,MUNICIPIO
172,9294066,UBS IX,ARACAGI
173,7732457,ACADEMIA SAUDE NA PRACA,ARACAGI
174,9121803,CENTRO DE ESPECIALIDADES MEDICAS E ODONTOLOGICAS DE ARACAGI,ARACAGI
175,6416500,SECRETARIA MUNICIPAL SAUDE DE ARACAGI,ARACAGI
176,2607921,UNIDADE MISTA VANILDO MAROJA,ARACAGI
177,6375812,LABORATORIO DE PROTESE DENTARIA DE ARACAGI,ARACAGI
178,2356643,UBS PSF VIII ASSENT MARIA PRETA,ARACAGI
179,2357089,UBS PSF I SANTO AMARO,ARACAGI
180,2607905,UBS PSF V PITOMBAS,ARACAGI
181,2607948,UBS PSF III CANAFISTINHA,ARACAGI
182,2607964,UNID ANCORA PSF VI SANTA LUCIA,ARACAGI
183,2608014,UBS PSF VII MULUNGUZINHO,ARACAGI
184,2607956,UNID ANCORA PSF VSAO VICENTE,ARACAGI
185,2607980,UNIDADEANCORA MERCADOR,ARACAGI
186,2608006,POSTO DE SAUDE DE PIABAS,ARACAGI
187,9106391,ACADEMIA DE SAUDE DA TAINHA,ARACAGI
188,2607972,UBS PSF VI TAINHA,ARACAGI
189,7715226,UNIDADE ANCORA PSF MARIA PRETA,ARACAGI
190,6347878,NUCLEO DE APOIO SAUDE DA FAMILIA DE ARACAGI NASF I,ARACAGI
191,2607891,UBS PSF II CENTRO,ARACAGI
192,2607913,UBS PSF IV CANAFISTULA,ARACAGI
193,7301405,CENTRO DE ATENCAO PISICOSSOCIAL,ARACAGI
194,9674969,UNIDADE DE SAUDE DA FAMILIA V,ARARA
195,6969623,NASF ARARA PB,ARARA
196,6950906,SAMU ARARA PB,ARARA
197,2821923,UNIDADE DE SAUDE DA FAMILIA IV,ARARA
198,7254210,FARMACIA BASICA ARARA PB,ARARA
199,2341948,UNIDADE DE SAUDE DA FAMILIA 4,ARARA
200,2592053,HOSPITAL NATANAEL ALVES,ARARA
201,2612585,UNIDADE DE SAUDE DA FAMILIA III,ARARA
202,2341891,UNIDADE DE SAUDE DA FAMILIA I,ARARA
203,2592045,CENTRO DE SAUDE DE ARARA,ARARA
204,2612577,UNIDADE DE SAUDE DA FAMILIA II,ARARA
205,9674993,UNIDADE DE SAUDE DA FAMILIA VI,ARARA
206,7760701,SAUDE DO TRABALHADOR ARARA PB,ARARA
207,6416101,SECRETARIA MUNICIPAL DE SAUDE,ARARA
208,9231455,PRONTO SOCORRO MUNICIPAL,ARARUNA
209,2608065,UNIDADE BASICA DE SAUDE DE FAZENDA NOVA,ARARUNA
210,2608057,UNIDADE BASICA DE SAUDE DE MATA VELHA,ARARUNA
211,7809883,POLO DA ACADEMIA DA SAUDE ARARUNA,ARARUNA
212,6425623,CENTRAL DE MARCACAO DE CONSULTAS E EXAMES,ARARUNA
213,6213189,UNIDADE BASICA DE SAUDE CENTRO IV,ARARUNA
214,5330823,POLICLINICA BENJAMIN GOMES MARANHAO,ARARUNA
215,2608073,CENTRO DE REABILITACAO DR JOSE DACIO,ARARUNA
216,5330653,CEO CENTRO DE ESPECIALIDADES ODONTOLOGICAS,ARARUNA
217,6992153,UNIDADE MOVEL DE ATENDIMENTO DE URGENCIA BASICO,ARARUNA
218,6992161,UNIDADE MOVEL DE ATENDIMENTO DE URGENCIA AVANCADO,ARARUNA
219,6956653,SAMU SERVICO DE ATENDIMENTO MOVEL DE URGENCIA,ARARUNA
220,9174710,NASF ARARUNA,ARARUNA
221,2608030,UNIDADE BASICA DE SAUDE HELDER TARGINO MARANHAO,ARARUNA
222,2608049,UNIDADE BASICA DE SAUDE DE MACAPA,ARARUNA
223,3770354,CAPS CENTRO DE ATENCAO PSICOSSOCIAL,ARARUNA
224,3188221,UNIDADE BASICA DE SAUDE DE ALTO GRANDE,ARARUNA
225,6603785,UNIDADE DE VIGILANCIA EM SAUDE,ARARUNA
226,6609759,SECRETARIA MUNICIPAL DE SAUDE,ARARUNA
227,6213170,UNDADE BASICA DE SAUDE CENTRO III,ARARUNA
228,6248217,UNIDADE MOVEL DE ARARUNA,ARARUNA
229,6457088,UNIDADE BASICA DE SAUDE DE ANAFE,ARARUNA
230,2608022,CENTRO DE SAUDE DE ARARUNA,ARARUNA
231,6749550,FARMACIA MUNICIPAL DE ARARUNA,ARARUNA
232,9158863,SERVICO DE ATENCAO DOMICILIAR SAD AREIA,AREIA
233,2593009,POSTO DE SAUDE CHA DA PIA,AREIA
234,2607026,UNIDADE DE SAUDE DA FAMILIA DISTRITO SANTA MARIA,AREIA
235,2607573,ANTONIO TRAJANO DOS SANTOS,AREIA
236,7906455,CAPS I AREIA,AREIA
237,9864067,ESF X MARIA DAS DORES MONTEIRO BARACHO MUTIRAO,AREIA
238,2607603,POSTO DE SAUDE DR MORAES DE GALVAO PSF III,AREIA
239,6319424,JOSE PAULINO DA SILVA ESF VII,AREIA
240,6813100,JOSE EVARISTO DA SILVA ESF VIII,AREIA
241,6627676,CENTRO MATERNO INFANTIL DE AREIA,AREIA
242,7417403,LABORATORIO DE PROTESE DENTARIA AREIA,AREIA
243,9236090,EQUIPE MULTIDISCIPLINAR DE APOIO EMAP,AREIA
244,9677054,CENTRO DE ATENCAO PSICOSSOCIAL CAPS AREIA PB,AREIA
245,9754431,ESF IX FRANCISCO DE ASSIS GONDIM DISTRITO DE MUQUEM,AREIA
246,9520244,NUCLEO DE APOIO A SAUDE DA FAMILIA NASF AREIA PB,AREIA
247,2593017,PSF DE MATA LIMPA,AREIA
248,2607042,PSF VI JUVENAL ESPINOLA,AREIA
249,2607050,PSF IV JOSE GUEDES DA COSTA,AREIA
250,9888772,UNIDADE DE VIGILANCIA SANITARIA DE AREIA,AREIA
251,6421857,SECRETARIA MUNICIPAL DE SAUDE DE AREIA,AREIA
252,6926037,BASE DESCENTRALIZADA DO SAMU AREIA PB,AREIA
253,6454569,POLICLINICA DE AREIA,AREIA
254,6499198,HOSPITAL DR HERCILIO RODRIGUES,AREIA
255,2321254,UNIDADE DE SAUDE DA FAMILIA DE AREIA DE BARAUNAS,AREIA DE BARAUNAS
256,2321262,POSTO DE SAUDE DE BANANEIRAS,AREIA DE BARAUNAS
257,6415261,SECRETARIA MUNICIPAL DE SAUDE,AREIA DE BARAUNAS
258,7353456,NASF III AREIA DE BARAUNAS,AREIA DE BARAUNAS
259,7393938,FARMACIA BASICA DE AREIA DE BARAUNAS,AREIA DE BARAUNAS
260,7786700,LAB DE PROTESE DENTARIA DE AREIA DE BARAUNAS,AREIA DE BARAUNAS
261,6854214,LABORATORIO DE ANALISES CLINICAS JOSE GOMES MONTENEGRO,AREIA DE BARAUNAS
262,2591995,UBSF I VIRGINIA AUGUSTO DA SILVA,AREIAL
263,2597209,UBSF II NAUTILIA GUIMARAES DA SILVA,AREIAL
264,2592002,UBSF III JULIA MARIA PORTO,AREIAL
265,7768540,CENTRO DE ESPECIALIDADES ODONTOLOGICAS DE AREIAL,AREIAL
266,7415796,NASF,AREIAL
267,7389132,LABORATORIO MUNICIPAL DE ANALISES CLINICAS,AREIAL
268,7397526,LABORATORIO DE PROTESES DENTARIAS,AREIAL
269,6415113,SECRETARIA MUNICIPAL DE AREIAL,AREIAL
270,7484216,UNIDADE MOVEL TERRESTRE AMIGO DO PEITO,AREIAL
271,5199174,UBSF V CHA DA BARRA,AROEIRAS
272,7100221,SAMU 192 BASE DESCENTRALIZADA DE AROEIRAS USA,AROEIRAS
273,7100248,SAMU 192 BASE DESCENTRALIZADA DE AROEIRAS USB,AROEIRAS
274,2605821,UBSF II PEDRO VELHO,AROEIRAS
275,2605813,UBSF III CONJUNTO CEHAP,AROEIRAS
276,2605848,UBSF I CACHOEIRA,AROEIRAS
277,2607077,UBSF IV DO CENTRO,AROEIRAS
278,3981800,CAPS I CENTRO DE ATENCAO PSICOSSOCIAL,AROEIRAS
279,3567028,UBSF VIII BATISTA,AROEIRAS
280,6416241,SECRETARIA MUNICIPAL DE SAUDE,AROEIRAS
281,3566633,UBSF VI CONJUNTO DO CAMPO,AROEIRAS
282,7199600,CEO CENTRO DE ESPECIALIDADES ODONTOLOGICAS,AROEIRAS
283,9298681,UBSF X MASSARANDUBA,AROEIRAS
284,9094903,ACADEMIA DA SAUDE DE AROEIRAS,AROEIRAS
285,9298673,UBSF IX TORRES,AROEIRAS
286,3566676,UBSF VII PEDRA DAGUA,AROEIRAS
287,9298738,CAPS INFANTIL DE AROEIRAS,AROEIRAS
288,6335861,NASF,AROEIRAS
289,2613689,HOSPITAL MUNICIPAL DE AROEIRAS,AROEIRAS
290,7649258,NASF III GERALDA SOARES,ASSUNCAO
291,2592436,ESTRATEGIA SAUDE DA FAMILIA RITA DE SOUZA,ASSUNCAO
292,6934315,LABORATORIO MUNICIPAL DE PROTESES DENTARIAS,ASSUNCAO
293,7530331,ACADEMIA DE SAUDE DE ASSUNCAO PB,ASSUNCAO
294,7427700,AMIGO DO PEITO DE ASSUNCAO,ASSUNCAO
295,7394624,PSF II ASSUNCAO,ASSUNCAO
296,6922759,UNIDADE DE SAUDE SEVERINO PAULINO DA SILVA,ASSUNCAO
297,6922767,UNIDADE DE SAUDE JOAO FRANCISCO XAVIER,ASSUNCAO
298,6922783,UNIDADE DE SAUDE MARIA BORGES FERREIRA,ASSUNCAO
299,6411452,SECRETARIA MUNICIPAL DE SAUDE DE ASSUNCAO,ASSUNCAO
300,7816707,UBSI MARIA AUGUSTO BARBOSA,BAIA DA TRAICAO
301,7816472,UBSI JOAO DE OLIVEIRA MELO,BAIA DA TRAICAO
302,7816723,UBSI JOSE DOMINGOS DA SILVA,BAIA DA TRAICAO
303,6429793,SECRETARIA MUNICIPAL DE SAUDE,BAIA DA TRAICAO
304,9799141,PRONTO ATENDIMENTO DA BAIA DA TRAICAO,BAIA DA TRAICAO
305,7973152,UNIDADE MOVEL ODONTOLOGICA POTIGUARA,BAIA DA TRAICAO
306,2357283,UNIDADE DE SAUDE DA FAMILIA CACIQUE DANIEL SANTANA,BAIA DA TRAICAO
307,2592932,UNIDADE DE SAUDE DA FAMILIA DR ANTONIO PALITOT,BAIA DA TRAICAO
308,7816642,UBSI JOAO FRANCISCO DOS SANTOS,BAIA DA TRAICAO
309,7766025,BAIA DA TRAICAO NASF,BAIA DA TRAICAO
310,7816650,UBSI MANUEL HIGINO DA SILVA,BAIA DA TRAICAO
311,7816693,UBSI ARTUR LOURENCO,BAIA DA TRAICAO
312,6876099,VIGILANCIA SANITARIA DE BAIA DA TRAICAO,BAIA DA TRAICAO
313,7393377,UNIDADE DE SAUDE DA FAMILIA SAO MIGUEL,BAIA DA TRAICAO
314,7816685,UBSI JOSE ROBERTO PEREIRA,BAIA DA TRAICAO
315,7816669,UBSI ALEXANDRINA MARIA DA CONCEICAO,BAIA DA TRAICAO
316,7816715,UBSI ALTO DO TAMBA,BAIA DA TRAICAO
317,7816677,UBSI MIGUEL BENTO DE AZEVEDO,BAIA DA TRAICAO
318,7469462,POLO BASE DE SAUDE INDIGENA BAIA DA TRAICAO PB,BAIA DA TRAICAO
319,2357305,UNIDADE DE SAUDE DA FAMILIA DR FRANCISCO PORTO,BAIA DA TRAICAO
320,7409540,FAC SERVICOS PROTETICOS DA PARAIBA LTDA ME,BAIA DA TRAICAO
321,5142903,UNIDADE MEDICA ODONTOLOGICA MOVEL DE BANANEIRAS,BANANEIRAS
322,9011218,FARMACIA BASICA DE BANANEIRAS,BANANEIRAS
323,9061851,FARMACIA BASICA DISTRITAL DE TABOLEIRO,BANANEIRAS
324,2418681,SECRETARIA MUNICIPAL DE SAUDE,BANANEIRAS
325,9062106,FARMACIA BASICA DISTRITAL DE VILA MAIA,BANANEIRAS
326,2608111,GRUPO ESCOLAR XAVIER JUNIOR,BANANEIRAS
327,2608081,UNID PSF DE CAJAZEIRAS,BANANEIRAS
328,2608146,POSTO DE SAUDE DE UMARI,BANANEIRAS
329,6005187,PSF IX CHA DO LINDOLFO,BANANEIRAS
330,3941108,CAPS I BANANEIRAS,BANANEIRAS
331,2418711,CLINICA DE FISIOTERAPIA DR ELOI FARIAS,BANANEIRAS
332,3479625,U S F DRA ELIANE CALDAS ALVES,BANANEIRAS
333,9062084,FARMACIA BASICA DISTRITAL DE ROMA,BANANEIRAS
334,3043312,U S F ANTONIO MARQUES NETO,BANANEIRAS
335,3698181,UNID PSF CIDADE BAIXA,BANANEIRAS
336,2608162,USF DE GAMELAS,BANANEIRAS
337,2608154,USF DR MARIANO BARBOSA,BANANEIRAS
338,9174958,ACADEMIA DE SAUDE ANTONIO SOARES NEGROMONTE,BANANEIRAS
339,2418703,CENTRO DE SAUDEPOLICLINICA MUN SEVERINO CORDEIRO DE MELO,BANANEIRAS
340,2608103,POSTO DE SAUDE SANTA CLARA,BANANEIRAS
341,6910327,SERVICO DE URGENCIA MOVEL DE BANANEIRAS 192,BANANEIRAS
342,6193366,CEO DR JOSE CONSTANTINO SILVEIRA,BANANEIRAS
343,7157002,LABORATORIO DE PROTESE DENTARIA DE BANANEIRAS,BANANEIRAS
344,2613298,HOSPITAL MUNICIPAL DR CLOVIS BEZERRA CAVALCANTI,BANANEIRAS
